Date,Rate
2018-11-19,0.7308
2018-11-20,0.7274
2018-11-21,0.7235
2018-11-22,0.725
2018-11-23,0.725
2018-11-24,0.725
2018-11-25,0.725
2018-11-26,0.725
2018-11-27,0.7228
2018-11-28,0.7233
2018-11-29,0.7314
2018-11-30,0.7316
2018-12-01,0.7316
2018-12-02,0.7316
2018-12-03,0.7367
2018-12-04,0.7375
2018-12-05,0.7288
2018-12-06,0.7226
2018-12-07,0.7233
2018-12-08,0.7233
2018-12-09,0.7233
2018-12-10,0.7221
2018-12-11,0.7205
2018-12-12,0.7215
2018-12-13,0.7226
2018-12-14,0.7189
2018-12-15,0.7189
2018-12-16,0.7189
2018-12-17,0.7173
2018-12-18,0.7189
2018-12-19,0.7193
2018-12-20,0.7095
2018-12-21,0.711
2018-12-22,0.711
2018-12-23,0.711
2018-12-24,0.7065
2018-12-25,0.7065
2018-12-26,0.7065
2018-12-27,0.706
2018-12-28,0.7051
2018-12-29,0.7051
2018-12-30,0.7051
2018-12-31,0.7058
2019-01-01,0.7058
2019-01-02,0.702
2019-01-03,0.6945
2019-01-04,0.7024
2019-01-05,0.7024
2019-01-06,0.7024
2019-01-07,0.7133
2019-01-08,0.713
2019-01-09,0.7154
2019-01-10,0.7185
2019-01-11,0.722
2019-01-12,0.722
2019-01-13,0.722
2019-01-14,0.7184
2019-01-15,0.7212
2019-01-16,0.7196
2019-01-17,0.7152
2019-01-18,0.7193
2019-01-19,0.7193
2019-01-20,0.7193
2019-01-21,0.7169
2019-01-22,0.7137
2019-01-23,0.7137
2019-01-24,0.711
2019-01-25,0.7095
2019-01-26,0.7095
2019-01-27,0.7095
2019-01-28,0.7095
2019-01-29,0.7167
2019-01-30,0.7195
2019-01-31,0.7268
2019-02-01,0.7241
2019-02-02,0.7241
2019-02-03,0.7241
2019-02-04,0.7227
2019-02-05,0.726
2019-02-06,0.7153
2019-02-07,0.7099
2019-02-08,0.7076
2019-02-09,0.7076
2019-02-10,0.7076
2019-02-11,0.7093
2019-02-12,0.7072
2019-02-13,0.7134
2019-02-14,0.7119
2019-02-15,0.7093
2019-02-16,0.7093
2019-02-17,0.7093
2019-02-18,0.715
2019-02-19,0.7113
2019-02-20,0.7163
2019-02-21,0.7162
2019-02-22,0.7093
2019-02-23,0.7093
2019-02-24,0.7093
2019-02-25,0.7144
2019-02-26,0.7159
2019-02-27,0.7183
2019-02-28,0.7146
2019-03-01,0.7093
2019-03-02,0.7093
2019-03-03,0.7093
2019-03-04,0.7095
2019-03-05,0.7076
2019-03-06,0.7035
2019-03-07,0.7049
2019-03-08,0.7009
2019-03-09,0.7009
2019-03-10,0.7009
2019-03-11,0.7044
2019-03-12,0.7069
2019-03-13,0.7055
2019-03-14,0.7059
2019-03-15,0.7081
2019-03-16,0.7081
2019-03-17,0.7081
2019-03-18,0.7115
2019-03-19,0.7105
2019-03-20,0.7075
2019-03-21,0.7145
2019-03-22,0.7106
2019-03-23,0.7106
2019-03-24,0.7106
2019-03-25,0.7079
2019-03-26,0.7122
2019-03-27,0.7101
2019-03-28,0.7097
2019-03-29,0.7087
2019-03-30,0.7087
2019-03-31,0.7087
2019-04-01,0.7121
2019-04-02,0.708
2019-04-03,0.7106
2019-04-04,0.7111
2019-04-05,0.7125
2019-04-06,0.7125
2019-04-07,0.7125
2019-04-08,0.7094
2019-04-09,0.7136
2019-04-10,0.7144
2019-04-11,0.7163
2019-04-12,0.7132
2019-04-13,0.7132
2019-04-14,0.7132
2019-04-15,0.7168
2019-04-16,0.7147
2019-04-17,0.72
2019-04-18,0.7183
2019-04-19,0.7183
2019-04-20,0.7183
2019-04-21,0.7183
2019-04-22,0.7183
2019-04-23,0.7121
2019-04-24,0.7039
2019-04-25,0.7039
2019-04-26,0.7025
2019-04-27,0.7025
2019-04-28,0.7025
2019-04-29,0.7056
2019-04-30,0.7039
2019-05-01,0.7054
2019-05-02,0.702
2019-05-03,0.6998
2019-05-04,0.6998
2019-05-05,0.6998
2019-05-06,0.6989
2019-05-07,0.7034
2019-05-08,0.7023
2019-05-09,0.6976
2019-05-10,0.6995
2019-05-11,0.6995
2019-05-12,0.6995
2019-05-13,0.6976
2019-05-14,0.6955
2019-05-15,0.6932
2019-05-16,0.6914
2019-05-17,0.6881
2019-05-18,0.6881
2019-05-19,0.6881
2019-05-20,0.692
2019-05-21,0.6878
2019-05-22,0.6875
2019-05-23,0.6876
2019-05-24,0.6888
2019-05-25,0.6888
2019-05-26,0.6888
2019-05-27,0.6937
2019-05-28,0.6929
2019-05-29,0.693
2019-05-30,0.6929
2019-05-31,0.6916
2019-06-01,0.6916
2019-06-02,0.6916
2019-06-03,0.6948
2019-06-04,0.6982
2019-06-05,0.7
2019-06-06,0.6975
2019-06-07,0.697
2019-06-08,0.697
2019-06-09,0.697
2019-06-10,0.697
2019-06-11,0.6953
2019-06-12,0.6948
2019-06-13,0.6913
2019-06-14,0.6898
2019-06-15,0.6898
2019-06-16,0.6898
2019-06-17,0.6878
2019-06-18,0.684
2019-06-19,0.6878
2019-06-20,0.6895
2019-06-21,0.6933
2019-06-22,0.6933
2019-06-23,0.6933
2019-06-24,0.6954
2019-06-25,0.6958
2019-06-26,0.697
2019-06-27,0.6992
2019-06-28,0.7013
2019-06-29,0.7013
2019-06-30,0.7013
2019-07-01,0.6994
2019-07-02,0.6979
2019-07-03,0.6998
2019-07-04,0.7036
2019-07-05,0.702
2019-07-06,0.702
2019-07-07,0.702
2019-07-08,0.699
2019-07-09,0.6958
2019-07-10,0.6924
2019-07-11,0.6972
2019-07-12,0.7001
2019-07-13,0.7001
2019-07-14,0.7001
2019-07-15,0.7034
2019-07-16,0.7036
2019-07-17,0.701
2019-07-18,0.7034
2019-07-19,0.7065
2019-07-20,0.7065
2019-07-21,0.7065
2019-07-22,0.7038
2019-07-23,0.7019
2019-07-24,0.6985
2019-07-25,0.6968
2019-07-26,0.6944
2019-07-27,0.6944
2019-07-28,0.6944
2019-07-29,0.6908
2019-07-30,0.6895
2019-07-31,0.6894
2019-08-01,0.6851
2019-08-02,0.6812
2019-08-03,0.6812
2019-08-04,0.6812
2019-08-05,0.6812
2019-08-06,0.6784
2019-08-07,0.6716
2019-08-08,0.6775
2019-08-09,0.681
2019-08-10,0.681
2019-08-11,0.681
2019-08-12,0.6786
2019-08-13,0.6764
2019-08-14,0.6788
2019-08-15,0.6783
2019-08-16,0.679
2019-08-17,0.679
2019-08-18,0.679
2019-08-19,0.6783
2019-08-20,0.6789
2019-08-21,0.6781
2019-08-22,0.6769
2019-08-23,0.6756
2019-08-24,0.6756
2019-08-25,0.6756
2019-08-26,0.6734
2019-08-27,0.6758
2019-08-28,0.6738
2019-08-29,0.6722
2019-08-30,0.6718
2019-08-31,0.6718
2019-09-01,0.6718
2019-09-02,0.6728
2019-09-03,0.6719
2019-09-04,0.6775
2019-09-05,0.6817
2019-09-06,0.6823
2019-09-07,0.6823
2019-09-08,0.6823
2019-09-09,0.686
2019-09-10,0.6857
2019-09-11,0.6875
2019-09-12,0.6881
2019-09-13,0.6873
2019-09-14,0.6873
2019-09-15,0.6873
2019-09-16,0.6875
2019-09-17,0.6841
2019-09-18,0.6849
2019-09-19,0.679
2019-09-20,0.6802
2019-09-21,0.6802
2019-09-22,0.6802
2019-09-23,0.6778
2019-09-24,0.6781
2019-09-25,0.6782
2019-09-26,0.6752
2019-09-27,0.6762
2019-09-28,0.6762
2019-09-29,0.6762
2019-09-30,0.6749
2019-10-01,0.6708
2019-10-02,0.6714
2019-10-03,0.6717
2019-10-04,0.6755
2019-10-05,0.6755
2019-10-06,0.6755
2019-10-07,0.6755
2019-10-08,0.6748
2019-10-09,0.6736
2019-10-10,0.6746
2019-10-11,0.6777
2019-10-12,0.6777
2019-10-13,0.6777
2019-10-14,0.6788
2019-10-15,0.6773
2019-10-16,0.6733
2019-10-17,0.6785
2019-10-18,0.6831
2019-10-19,0.6831
2019-10-20,0.6831
2019-10-21,0.686
2019-10-22,0.6876
2019-10-23,0.6843
2019-10-24,0.6843
2019-10-25,0.6818
2019-10-26,0.6818
2019-10-27,0.6818
2019-10-28,0.6814
2019-10-29,0.6854
2019-10-30,0.6864
2019-10-31,0.6926
2019-11-01,0.6905
2019-11-02,0.6905
2019-11-03,0.6905
2019-11-04,0.6921
2019-11-05,0.6904
2019-11-06,0.6897
2019-11-07,0.6867
2019-11-08,0.6881
2019-11-09,0.6881
2019-11-10,0.6881
2019-11-11,0.6853
2019-11-12,0.6847
2019-11-13,0.6843
2019-11-14,0.6798
2019-11-15,0.6795
2019-11-16,0.6795
2019-11-17,0.6795
2019-11-18,0.6811
2019-11-19,0.6798
2019-11-20,0.6817
2019-11-21,0.6797
2019-11-22,0.6788
2019-11-23,0.6788
2019-11-24,0.6788
2019-11-25,0.6794
2019-11-26,0.6782
2019-11-27,0.6777
2019-11-28,0.6763
2019-11-29,0.6777
2019-11-30,0.6777
2019-12-01,0.6777
2019-12-02,0.6774
2019-12-03,0.6841
2019-12-04,0.6825
2019-12-05,0.6839
2019-12-06,0.6843
2019-12-07,0.6843
2019-12-08,0.6843
2019-12-09,0.6832
2019-12-10,0.6829
2019-12-11,0.6818
2019-12-12,0.6882
2019-12-13,0.6926
2019-12-14,0.6926
2019-12-15,0.6926
2019-12-16,0.6873
2019-12-17,0.6871
2019-12-18,0.6846
2019-12-19,0.688
2019-12-20,0.689
2019-12-21,0.689
2019-12-22,0.689
2019-12-23,0.6906
2019-12-24,0.6914
2019-12-25,0.6914
2019-12-26,0.6914
2019-12-27,0.6953
2019-12-28,0.6953
2019-12-29,0.6953
2019-12-30,0.699
2019-12-31,0.7006
2020-01-01,0.7006
2020-01-02,0.7003
2020-01-03,0.6966
2020-01-04,0.6966
2020-01-05,0.6966
2020-01-06,0.6945
2020-01-07,0.6928
2020-01-08,0.6871
2020-01-09,0.6873
2020-01-10,0.6873
2020-01-11,0.6873
2020-01-12,0.6873
2020-01-13,0.6914
2020-01-14,0.6902
2020-01-15,0.6899
2020-01-16,0.6907
2020-01-17,0.6895
2020-01-18,0.6895
2020-01-19,0.6895
2020-01-20,0.6884
2020-01-21,0.6865
2020-01-22,0.6839
2020-01-23,0.6867
2020-01-24,0.6847
2020-01-25,0.6847
2020-01-26,0.6847
2020-01-27,0.6847
2020-01-28,0.6762
2020-01-29,0.6774
2020-01-30,0.6739
2020-01-31,0.6724
2020-02-01,0.6724
2020-02-02,0.6724
2020-02-03,0.6696
2020-02-04,0.6719
2020-02-05,0.6738
2020-02-06,0.676
2020-02-07,0.6718
2020-02-08,0.6718
2020-02-09,0.6718
2020-02-10,0.6699
2020-02-11,0.6709
2020-02-12,0.6728
2020-02-13,0.6719
2020-02-14,0.6719
2020-02-15,0.6719
2020-02-16,0.6719
2020-02-17,0.6725
2020-02-18,0.6692
2020-02-19,0.6696
2020-02-20,0.665
2020-02-21,0.6605
2020-02-22,0.6605
2020-02-23,0.6605
2020-02-24,0.6609
2020-02-25,0.6614
2020-02-26,0.6596
2020-02-27,0.6555
2020-02-28,0.6524
2020-02-29,0.6524
2020-03-01,0.6524
2020-03-02,0.6522
2020-03-03,0.6552
2020-03-04,0.6595
2020-03-05,0.662
2020-03-06,0.6602
2020-03-07,0.6602
2020-03-08,0.6602
2020-03-09,0.6539
2020-03-10,0.6566
2020-03-11,0.6505
2020-03-12,0.6457
2020-03-13,0.6307
2020-03-14,0.6307
2020-03-15,0.6307
2020-03-16,0.6176
2020-03-17,0.6121
2020-03-18,0.6018
2020-03-19,0.5571
2020-03-20,0.5853
2020-03-21,0.5853
2020-03-22,0.5853
2020-03-23,0.5762
2020-03-24,0.5912
2020-03-25,0.6007
2020-03-26,0.5931
2020-03-27,0.6102
2020-03-28,0.6102
2020-03-29,0.6102
2020-03-30,0.615
2020-03-31,0.6175
2020-04-01,0.6124
2020-04-02,0.6081
2020-04-03,0.6072
2020-04-04,0.6072
2020-04-05,0.6072
2020-04-06,0.6035
2020-04-07,0.6145
2020-04-08,0.6146
2020-04-09,0.6211
2020-04-10,0.6211
2020-04-11,0.6211
2020-04-12,0.6211
2020-04-13,0.6211
2020-04-14,0.6419
2020-04-15,0.6384
2020-04-16,0.6286
2020-04-17,0.636
2020-04-18,0.636
2020-04-19,0.636
2020-04-20,0.6346
2020-04-21,0.6314
2020-04-22,0.6323
2020-04-23,0.6341
2020-04-24,0.6343
2020-04-25,0.6343
2020-04-26,0.6343
2020-04-27,0.6462
2020-04-28,0.6457
2020-04-29,0.6542
2020-04-30,0.6566
2020-05-01,0.6459
2020-05-02,0.6459
2020-05-03,0.6459
2020-05-04,0.6382
2020-05-05,0.6459
2020-05-06,0.6449
2020-05-07,0.6426
2020-05-08,0.653
2020-05-09,0.653
2020-05-10,0.653
2020-05-11,0.6543
2020-05-12,0.6477
2020-05-13,0.6473
2020-05-14,0.6434
2020-05-15,0.6455
2020-05-16,0.6455
2020-05-17,0.6455
2020-05-18,0.6429
2020-05-19,0.652
2020-05-20,0.6551
2020-05-21,0.6556
2020-05-22,0.6541
2020-05-23,0.6541
2020-05-24,0.6541
2020-05-25,0.6529
2020-05-26,0.6577
2020-05-27,0.664
2020-05-28,0.6612
2020-05-29,0.6659
2020-05-30,0.6659
2020-05-31,0.6659
2020-06-01,0.6742
2020-06-02,0.6803
2020-06-03,0.694
2020-06-04,0.6906
2020-06-05,0.7
2020-06-06,0.7
2020-06-07,0.7
2020-06-08,0.7
2020-06-09,0.6995
2020-06-10,0.6997
2020-06-11,0.6929
2020-06-12,0.6867
2020-06-13,0.6867
2020-06-14,0.6867
2020-06-15,0.679
2020-06-16,0.6946
2020-06-17,0.6882
2020-06-18,0.687
2020-06-19,0.6861
2020-06-20,0.6861
2020-06-21,0.6861
2020-06-22,0.686
2020-06-23,0.6897
2020-06-24,0.6943
2020-06-25,0.6875
2020-06-26,0.6888
2020-06-27,0.6888
2020-06-28,0.6888
2020-06-29,0.6879
2020-06-30,0.6863
2020-07-01,0.6895
2020-07-02,0.6924
2020-07-03,0.693
2020-07-04,0.693
2020-07-05,0.693
2020-07-06,0.6972
2020-07-07,0.6958
2020-07-08,0.6941
2020-07-09,0.6986
2020-07-10,0.6931
2020-07-11,0.6931
2020-07-12,0.6931
2020-07-13,0.6978
2020-07-14,0.6942
2020-07-15,0.7
2020-07-16,0.6993
2020-07-17,0.6982
2020-07-18,0.6982
2020-07-19,0.6982
2020-07-20,0.6987
2020-07-21,0.704
2020-07-22,0.7152
2020-07-23,0.7151
2020-07-24,0.7086
2020-07-25,0.7086
2020-07-26,0.7086
2020-07-27,0.7129
2020-07-28,0.7141
2020-07-29,0.7165
2020-07-30,0.7159
2020-07-31,0.7213
2020-08-01,0.7213
2020-08-02,0.7213
2020-08-03,0.7213
2020-08-04,0.7132
2020-08-05,0.7181
2020-08-06,0.7207
2020-08-07,0.7207
2020-08-08,0.7207
2020-08-09,0.7207
2020-08-10,0.7165
2020-08-11,0.7177
2020-08-12,0.7118
2020-08-13,0.7172
2020-08-14,0.7157
2020-08-15,0.7157
2020-08-16,0.7157
2020-08-17,0.7183
2020-08-18,0.7225
2020-08-19,0.7249
2020-08-20,0.7172
2020-08-21,0.7204
2020-08-22,0.7204
2020-08-23,0.7204
2020-08-24,0.7178
2020-08-25,0.7174
2020-08-26,0.7193
2020-08-27,0.7237
2020-08-28,0.7299
2020-08-29,0.7299
2020-08-30,0.7299
2020-08-31,0.7354
2020-09-01,0.7412
2020-09-02,0.736
2020-09-03,0.7306
2020-09-04,0.727
2020-09-05,0.727
2020-09-06,0.727
2020-09-07,0.7279
2020-09-08,0.7289
2020-09-09,0.7225
2020-09-10,0.728
2020-09-11,0.7281
2020-09-12,0.7281
2020-09-13,0.7281
2020-09-14,0.7287
2020-09-15,0.7328
2020-09-16,0.7311
2020-09-17,0.7278
2020-09-18,0.732
2020-09-19,0.732
2020-09-20,0.732
2020-09-21,0.7315
2020-09-22,0.7213
2020-09-23,0.7135
2020-09-24,0.7042
2020-09-25,0.7061
2020-09-26,0.7061
2020-09-27,0.7061
2020-09-28,0.7049
2020-09-29,0.7084
2020-09-30,0.7108
2020-10-01,0.7188
2020-10-02,0.7139
2020-10-03,0.7139
2020-10-04,0.7139
2020-10-05,0.7139
2020-10-06,0.7191
2020-10-07,0.7124
2020-10-08,0.7145
2020-10-09,0.7179
2020-10-10,0.7179
2020-10-11,0.7179
2020-10-12,0.7229
2020-10-13,0.7185
2020-10-14,0.717
2020-10-15,0.7136
2020-10-16,0.7072
2020-10-17,0.7072
2020-10-18,0.7072
2020-10-19,0.7086
2020-10-20,0.7043
2020-10-21,0.7081
2020-10-22,0.7093
2020-10-23,0.7113
2020-10-24,0.7113
2020-10-25,0.7113
2020-10-26,0.7116
2020-10-27,0.7134
2020-10-28,0.7145
2020-10-29,0.7062
2020-10-30,0.7044
2020-10-31,0.7044
2020-11-01,0.7044
2020-11-02,0.7
2020-11-03,0.703
2020-11-04,0.7105
2020-11-05,0.7166
2020-11-06,0.7262
2020-11-07,0.7262
2020-11-08,0.7262
2020-11-09,0.7292
2020-11-10,0.7282
2020-11-11,0.7309
2020-11-12,0.727
2020-11-13,0.723
2020-11-14,0.723
2020-11-15,0.723
2020-11-16,0.729
2020-11-17,0.7322
2020-11-18,0.7295
2020-11-19,0.7295
2020-11-20,0.7295
2020-11-21,0.7295
2020-11-22,0.7295
2020-11-23,0.7313
2020-11-24,0.7317
2020-11-25,0.7356
2020-11-26,0.7362
2020-11-27,0.7375
2020-11-28,0.7375
2020-11-29,0.7375
2020-11-30,0.7393
2020-12-01,0.7368
2020-12-02,0.7375
2020-12-03,0.7409
2020-12-04,0.7428
2020-12-05,0.7428
2020-12-06,0.7428
2020-12-07,0.743
2020-12-08,0.7426
2020-12-09,0.7442
2020-12-10,0.7478
2020-12-11,0.7561
2020-12-12,0.7561
2020-12-13,0.7561
2020-12-14,0.754
2020-12-15,0.7512
2020-12-16,0.7564
2020-12-17,0.7587
2020-12-18,0.7594
2020-12-19,0.7594
2020-12-20,0.7594
2020-12-21,0.757
2020-12-22,0.7557
2020-12-23,0.7552
2020-12-24,0.7582
2020-12-25,0.7582
2020-12-26,0.7582
2020-12-27,0.7582
2020-12-28,0.7582
2020-12-29,0.7596
2020-12-30,0.7657
2020-12-31,0.7702
2021-01-01,0.7702
2021-01-02,0.7702
2021-01-03,0.7702
2021-01-04,0.7703
2021-01-05,0.7701
2021-01-06,0.7766
2021-01-07,0.7795
2021-01-08,0.7769
2021-01-09,0.7769
2021-01-10,0.7769
2021-01-11,0.7697
2021-01-12,0.7691
2021-01-13,0.7763
2021-01-14,0.7751
2021-01-15,0.7766
2021-01-16,0.7766
2021-01-17,0.7766
2021-01-18,0.7685
2021-01-19,0.7718
2021-01-20,0.7722
2021-01-21,0.7771
2021-01-22,0.7746
2021-01-23,0.7746
2021-01-24,0.7746
2021-01-25,0.7738
2021-01-26,0.7738
2021-01-27,0.7736
2021-01-28,0.7628
2021-01-29,0.7645
2021-01-30,0.7645
2021-01-31,0.7645
2021-02-01,0.7652
2021-02-02,0.7623
2021-02-03,0.7613
2021-02-04,0.7624
2021-02-05,0.7593
2021-02-06,0.7593
2021-02-07,0.7593
2021-02-08,0.7673
2021-02-09,0.7727
2021-02-10,0.774
2021-02-11,0.7735
2021-02-12,0.7745
2021-02-13,0.7745
2021-02-14,0.7745
2021-02-15,0.7782
2021-02-16,0.7796
2021-02-17,0.7753
2021-02-18,0.7754
2021-02-19,0.777
2021-02-20,0.777
2021-02-21,0.777
2021-02-22,0.7876
2021-02-23,0.7923
2021-02-24,0.7913
2021-02-25,0.797
2021-02-26,0.7829
2021-02-27,0.7829
2021-02-28,0.7829
2021-03-01,0.7745
2021-03-02,0.7755
2021-03-03,0.7822
2021-03-04,0.7793
2021-03-05,0.7709
2021-03-06,0.7709
2021-03-07,0.7709
2021-03-08,0.7702
2021-03-09,0.7663
2021-03-10,0.7684
2021-03-11,0.7747
2021-03-12,0.7785
2021-03-13,0.7785
2021-03-14,0.7785
2021-03-15,0.7749
2021-03-16,0.7753
2021-03-17,0.7737
2021-03-18,0.7827
2021-03-19,0.7753
2021-03-20,0.7753
2021-03-21,0.7753
2021-03-22,0.7726
2021-03-23,0.77
2021-03-24,0.7601
2021-03-25,0.76
2021-03-26,0.7613
2021-03-27,0.7613
2021-03-28,0.7613
2021-03-29,0.7631
2021-03-30,0.7652
2021-03-31,0.7602
2021-04-01,0.7543
2021-04-02,0.7543
2021-04-03,0.7543
2021-04-04,0.7543
2021-04-05,0.7543
2021-04-06,0.7648
2021-04-07,0.766
2021-04-08,0.7638
2021-04-09,0.7614
2021-04-10,0.7614
2021-04-11,0.7614
2021-04-12,0.7605
2021-04-13,0.7604
2021-04-14,0.7672
2021-04-15,0.7716
2021-04-16,0.7745
2021-04-17,0.7745
2021-04-18,0.7745
2021-04-19,0.7738
2021-04-20,0.7803
2021-04-21,0.7715
2021-04-22,0.7745
2021-04-23,0.7733
2021-04-24,0.7733
2021-04-25,0.7733
2021-04-26,0.7771
2021-04-27,0.7799
2021-04-28,0.7745
2021-04-29,0.7796
2021-04-30,0.7776
2021-05-01,0.7776
2021-05-02,0.7776
2021-05-03,0.7714
2021-05-04,0.7743
2021-05-05,0.7725
2021-05-06,0.7741
2021-05-07,0.7777
2021-05-08,0.7777
2021-05-09,0.7777
2021-05-10,0.7856
2021-05-11,0.7839
2021-05-12,0.7795
2021-05-13,0.7709
2021-05-14,0.7736
2021-05-15,0.7736
2021-05-16,0.7736
2021-05-17,0.7751
2021-05-18,0.7787
2021-05-19,0.7791
2021-05-20,0.7749
2021-05-21,0.7756
2021-05-22,0.7756
2021-05-23,0.7756
2021-05-24,0.7739
2021-05-25,0.7753
2021-05-26,0.7787
2021-05-27,0.7748
2021-05-28,0.7727
2021-05-29,0.7727
2021-05-30,0.7727
2021-05-31,0.7725
2021-06-01,0.7744
2021-06-02,0.7742
2021-06-03,0.7733
2021-06-04,0.7653
2021-06-05,0.7653
2021-06-06,0.7653
2021-06-07,0.7734
2021-06-08,0.7743
2021-06-09,0.774
2021-06-10,0.7737
2021-06-11,0.7754
2021-06-12,0.7754
2021-06-13,0.7754
2021-06-14,0.7754
2021-06-15,0.7716
2021-06-16,0.7694
2021-06-17,0.7632
2021-06-18,0.7537
2021-06-19,0.7537
2021-06-20,0.7537
2021-06-21,0.75
2021-06-22,0.7509
2021-06-23,0.7545
2021-06-24,0.7569
2021-06-25,0.7594
2021-06-26,0.7594
2021-06-27,0.7594
2021-06-28,0.7591
2021-06-29,0.7563
2021-06-30,0.7518
2021-07-01,0.7483
2021-07-02,0.7466
2021-07-03,0.7466
2021-07-04,0.7466
2021-07-05,0.7513
2021-07-06,0.7578
2021-07-07,0.7504
2021-07-08,0.746
2021-07-09,0.7427
2021-07-10,0.7427
2021-07-11,0.7427
2021-07-12,0.7474
2021-07-13,0.7488
2021-07-14,0.746
2021-07-15,0.7478
2021-07-16,0.7439
2021-07-17,0.7439
2021-07-18,0.7439
2021-07-19,0.7382
2021-07-20,0.7324
2021-07-21,0.7298
2021-07-22,0.7356
2021-07-23,0.7365
2021-07-24,0.7365
2021-07-25,0.7365
2021-07-26,0.7353
2021-07-27,0.7372
2021-07-28,0.7361
2021-07-29,0.7383
2021-07-30,0.7381
2021-07-31,0.7381
2021-08-01,0.7381
2021-08-02,0.7381
2021-08-03,0.7397
2021-08-04,0.7397
2021-08-05,0.7395
2021-08-06,0.7391
2021-08-07,0.7391
2021-08-08,0.7391
2021-08-09,0.7357
2021-08-10,0.733
2021-08-11,0.7338
2021-08-12,0.7365
2021-08-13,0.7337
2021-08-14,0.7337
2021-08-15,0.7337
2021-08-16,0.7336
2021-08-17,0.7311
2021-08-18,0.7259
2021-08-19,0.719
2021-08-20,0.7133
2021-08-21,0.7133
2021-08-22,0.7133
2021-08-23,0.7161
2021-08-24,0.7234
2021-08-25,0.7245
2021-08-26,0.7264
2021-08-27,0.7247
2021-08-28,0.7247
2021-08-29,0.7247
2021-08-30,0.7297
2021-08-31,0.7335
2021-09-01,0.7325
2021-09-02,0.738
2021-09-03,0.7423
2021-09-04,0.7423
2021-09-05,0.7423
2021-09-06,0.7435
2021-09-07,0.7422
2021-09-08,0.7384
2021-09-09,0.7349
2021-09-10,0.7382
2021-09-11,0.7382
2021-09-12,0.7382
2021-09-13,0.7348
2021-09-14,0.734
2021-09-15,0.7323
2021-09-16,0.7317
2021-09-17,0.7303
2021-09-18,0.7303
2021-09-19,0.7303
2021-09-20,0.7241
2021-09-21,0.7268
2021-09-22,0.725
2021-09-23,0.7244
2021-09-24,0.7297
2021-09-25,0.7297
2021-09-26,0.7297
2021-09-27,0.7284
2021-09-28,0.731
2021-09-29,0.7254
2021-09-30,0.7206
2021-10-01,0.7211
2021-10-02,0.7211
2021-10-03,0.7211
2021-10-04,0.7211
2021-10-05,0.7265
2021-10-06,0.726
2021-10-07,0.7281
2021-10-08,0.7298
2021-10-09,0.7298
2021-10-10,0.7298
2021-10-11,0.7319
2021-10-12,0.7349
2021-10-13,0.734
2021-10-14,0.7388
2021-10-15,0.7422
2021-10-16,0.7422
2021-10-17,0.7422
2021-10-18,0.7403
2021-10-19,0.7455
2021-10-20,0.7499
2021-10-21,0.7508
2021-10-22,0.7477
2021-10-23,0.7477
2021-10-24,0.7477
2021-10-25,0.7487
2021-10-26,0.7515
2021-10-27,0.7526
2021-10-28,0.751
2021-10-29,0.7546
2021-10-30,0.7546
2021-10-31,0.7546
2021-11-01,0.7505
2021-11-02,0.7497
2021-11-03,0.7435
2021-11-04,0.7448
2021-11-05,0.7397
2021-11-06,0.7397
2021-11-07,0.7397
2021-11-08,0.7398
2021-11-09,0.741
2021-11-10,0.7368
2021-11-11,0.7304
2021-11-12,0.7287
2021-11-13,0.7287
2021-11-14,0.7287
2021-11-15,0.7343
2021-11-16,0.7354
2021-11-17,0.7284
2021-11-18,0.7273
2021-11-19,0.7274
2021-11-20,0.7274
2021-11-21,0.7274
2021-11-22,0.7253
2021-11-23,0.7221
2021-11-24,0.7209
2021-11-25,0.7204
2021-11-26,0.7142
2021-11-27,0.7142
2021-11-28,0.7142
2021-11-29,0.714
2021-11-30,0.7144
2021-12-01,0.7169
2021-12-02,0.7098
2021-12-03,0.7076
2021-12-04,0.7076
2021-12-05,0.7076
2021-12-06,0.7025
2021-12-07,0.7071
2021-12-08,0.7133
2021-12-09,0.7174
2021-12-10,0.7151
2021-12-11,0.7151
2021-12-12,0.7151
2021-12-13,0.7176
2021-12-14,0.7104
2021-12-15,0.7114
2021-12-16,0.716
2021-12-17,0.7167
2021-12-18,0.7167
2021-12-19,0.7167
2021-12-20,0.7109
2021-12-21,0.7113
2021-12-22,0.7133
2021-12-23,0.721
2021-12-24,0.7232
2021-12-25,0.7232
2021-12-26,0.7232
2021-12-27,0.7232
2021-12-28,0.7232
2021-12-29,0.7233
2021-12-30,0.7258
2021-12-31,0.7256
2022-01-01,0.7256
2022-01-02,0.7256
2022-01-03,0.7256
2022-01-04,0.7211
2022-01-05,0.7232
2022-01-06,0.7177
2022-01-07,0.7162
2022-01-08,0.7162
2022-01-09,0.7162
2022-01-10,0.7193
2022-01-11,0.7186
2022-01-12,0.7218
2022-01-13,0.7291
2022-01-14,0.7283
2022-01-15,0.7283
2022-01-16,0.7283
2022-01-17,0.7207
2022-01-18,0.7195
2022-01-19,0.7188
2022-01-20,0.7238
2022-01-21,0.7192
2022-01-22,0.7192
2022-01-23,0.7192
2022-01-24,0.718
2022-01-25,0.7133
2022-01-26,0.7133
2022-01-27,0.7082
2022-01-28,0.7028
2022-01-29,0.7028
2022-01-30,0.7028
2022-01-31,0.7011
2022-02-01,0.7066
2022-02-02,0.7134
2022-02-03,0.712
2022-02-04,0.715
2022-02-05,0.715
2022-02-06,0.715
